CP010333.1	AL450380.1	79.856	18879	3430	235	3244483	3263161	2812625	2793920	0.0	13450
CP010333.1	AL450380.1	86.785	7499	961	26	762369	769850	2276755	2269270	0.0	8331
CP010333.1	AL450380.1	94.649	4990	190	39	1479487	1484434	1341143	1346097	0.0	7664
CP010333.1	AL450380.1	81.389	8511	1459	95	3281651	3290096	188453	180003	0.0	6826
CP010333.1	AL450380.1	84.425	6414	927	42	3266345	3272724	200535	194160	0.0	6244
CP010333.1	AL450380.1	81.568	6581	1177	31	4302407	4308966	84030	77465	0.0	5400
CP010333.1	AL450380.1	79.593	7811	1359	144	3331144	3338820	2024662	2032371	0.0	5376
CP010333.1	AL450380.1	78.151	7419	1489	101	343690	351020	3023864	3016490	0.0	4599
CP010333.1	AL450380.1	81.121	5726	1037	31	2021780	2027492	1867909	1862215	0.0	4545
CP010333.1	AL450380.1	80.621	5893	1064	63	2485222	2491065	1959885	1965748	0.0	4484
CP010333.1	AL450380.1	79.362	5955	1103	77	4053710	4059574	271975	266057	0.0	4072
CP010333.1	AL450380.1	80.538	5246	983	24	2836811	2842034	1401827	1396598	0.0	3997
CP010333.1	AL450380.1	77.929	6520	1319	86	1802304	1808776	1502246	1508692	0.0	3958
CP010333.1	AL450380.1	82.391	4583	765	34	3802783	3807343	485172	480610	0.0	3954
CP010333.1	AL450380.1	79.287	5523	1021	87	617261	622702	2885521	2880041	0.0	3747
CP010333.1	AL450380.1	86.118	3436	459	14	1392576	1396005	1260024	1263447	0.0	3687
CP010333.1	AL450380.1	78.846	5564	1058	80	2738774	2744269	1767602	1773114	0.0	3644
CP010333.1	AL450380.1	85.727	3398	463	13	958265	961658	2572543	2569164	0.0	3568
CP010333.1	AL450380.1	81.292	4474	766	44	3376645	3381076	2064072	2068516	0.0	3559
CP010333.1	AL450380.1	82.427	4046	624	59	3400811	3404825	2093472	2097461	0.0	3452
CP010333.1	AL450380.1	77.504	5921	1179	97	2770439	2776278	1496727	1490879	0.0	3413
CP010333.1	AL450380.1	79.741	4783	898	46	1657363	1662119	720590	725327	0.0	3398
CP010333.1	AL450380.1	80.744	4435	754	70	601979	606365	2899216	2894834	0.0	3367
CP010333.1	AL450380.1	82.495	3856	640	21	1601964	1605797	678849	682691	0.0	3349
CP010333.1	AL450380.1	85.377	3221	454	16	3608821	3612032	924234	921022	0.0	3323
CP010333.1	AL450380.1	81.730	4034	686	38	1757116	1761131	1422548	1426548	0.0	3319
CP010333.1	AL450380.1	81.858	3908	687	19	2832808	2836701	1405852	1401953	0.0	3269
CP010333.1	AL450380.1	79.565	4644	840	70	496612	501179	388919	384309	0.0	3217
CP010333.1	AL450380.1	79.353	4606	887	47	126167	130746	3209499	3204932	0.0	3179
CP010333.1	AL450380.1	80.825	4073	727	42	1872835	1876885	1692183	1696223	0.0	3145
CP010333.1	AL450380.1	81.481	3796	691	11	1455687	1459476	1318301	1322090	0.0	3105
CP010333.1	AL450380.1	79.214	4532	854	69	4018785	4023265	305702	301208	0.0	3070
CP010333.1	AL450380.1	80.148	4181	762	48	2068709	2072853	2476916	2472768	0.0	3061
CP010333.1	AL450380.1	80.826	3948	714	36	4229818	4233746	130593	126670	0.0	3057
CP010333.1	AL450380.1	82.072	3620	586	40	1572416	1575991	657332	660932	0.0	3031
CP010333.1	AL450380.1	76.985	5440	1148	76	1591067	1596453	670034	675422	0.0	3014
CP010333.1	AL450380.1	83.399	3289	504	32	783862	787115	2260372	2257091	0.0	3011
CP010333.1	AL450380.1	81.854	3593	604	33	2379684	2383234	1560467	1556881	0.0	2979
CP010333.1	AL450380.1	79.332	4403	788	76	2478537	2482852	1024044	1019677	0.0	2977
CP010333.1	AL450380.1	87.194	2577	327	3	4015958	4018532	308549	305974	0.0	2928
CP010333.1	AL450380.1	80.462	3854	714	27	1565049	1568873	649623	653466	0.0	2909
CP010333.1	AL450380.1	83.275	3145	516	9	3792952	3796093	489443	486306	0.0	2885
CP010333.1	AL450380.1	78.084	4718	908	76	3635674	3640318	896575	891911	0.0	2868
CP010333.1	AL450380.1	83.317	3135	476	41	3391506	3394606	2083348	2086469	0.0	2848
CP010333.1	AL450380.1	85.462	2717	389	6	2515299	2518011	1996150	1998864	0.0	2824
CP010333.1	AL450380.1	81.203	3591	599	46	1143503	1147055	328050	331602	0.0	2822
CP010333.1	AL450380.1	79.439	4032	774	39	17679	21683	21105	25108	0.0	2802
CP010333.1	AL450380.1	84.212	2901	433	19	1846611	1849501	1668308	1671193	0.0	2796
CP010333.1	AL450380.1	81.389	3498	590	42	4122529	4125978	2750464	2753948	0.0	2796
CP010333.1	AL450380.1	81.395	3440	599	33	2700516	2703928	740055	736630	0.0	2769
CP010333.1	AL450380.1	77.721	4659	940	68	2439255	2443849	1059895	1055271	0.0	2763
CP010333.1	AL450380.1	78.458	4294	847	54	1380854	1385088	1248424	1252698	0.0	2734
CP010333.1	AL450380.1	78.290	4385	846	64	3239420	3243752	2817725	2813395	0.0	2726
CP010333.1	AL450380.1	78.433	4289	841	62	1796797	1801035	1445954	1450208	0.0	2719
CP010333.1	AL450380.1	77.102	4817	1004	70	1910469	1915231	1606100	1610871	0.0	2693
CP010333.1	AL450380.1	80.558	3513	623	37	1671183	1674661	2198533	2195047	0.0	2649
CP010333.1	AL450380.1	78.578	4094	767	76	3655645	3659695	870919	866893	0.0	2601
CP010333.1	AL450380.1	83.375	2827	448	12	2508278	2511087	1989140	1991961	0.0	2597
CP010333.1	AL450380.1	83.773	2730	404	19	2512524	2515219	1993404	1996128	0.0	2551
CP010333.1	AL450380.1	75.779	5330	1127	113	739159	744396	2287523	2282266	0.0	2540
CP010333.1	AL450380.1	84.684	2566	352	26	3695837	3698389	836411	833874	0.0	2523
CP010333.1	AL450380.1	81.008	3254	545	41	1472536	1475762	1335152	1338359	0.0	2518
CP010333.1	AL450380.1	77.788	4169	870	37	281409	285540	3069737	3065588	0.0	2518
CP010333.1	AL450380.1	80.343	3378	608	39	2756536	2759886	1782209	1785557	0.0	2508
CP010333.1	AL450380.1	78.651	3855	735	68	184205	188005	3154325	3150505	0.0	2479
CP010333.1	AL450380.1	85.297	2394	334	14	2900523	2902911	597956	595576	0.0	2455
CP010333.1	AL450380.1	78.311	3919	746	65	593198	597057	2904859	2900986	0.0	2433
CP010333.1	AL450380.1	82.604	2788	452	22	2352522	2355295	1582519	1579751	0.0	2431
