HOG	OG	Gene Tree Parent Clade	Mavium	Mafric	Mlepra	Mbovis	Mmicro
N2.HOG0000000	OG0000000	n1		CCC26334.1		ALV10415.1	AMC58818.1
N2.HOG0000001	OG0000000	n5		CCC26932.1		ALV10932.1	AMC59472.1
N2.HOG0000002	OG0000000	n7				ALV10281.1	AMC59257.1, AMC58652.1
N2.HOG0000003	OG0000000	n70		CCC25953.1		ALV10080.1	AMC58396.1
N2.HOG0000004	OG0000000	n74				ALV11719.1	AMC60453.1
N2.HOG0000005	OG0000000	n60		CCC25184.1		ALV09382.1	AMC57554.1
N2.HOG0000006	OG0000000	n55		CCC28429.1, CCC27480.1		ALV13177.1, ALV11418.1	AMC60085.1
N2.HOG0000007	OG0000000	n68		CCC27678.1		ALV11599.1	AMC60299.1
N2.HOG0000008	OG0000000	n77		CCC25914.1		ALV10047.1	AMC58354.1
N2.HOG0000009	OG0000000	n79		CCC26910.1		ALV10910.1, ALV10866.1	AMC59395.1
N2.HOG0000010	OG0000000	n42				ALV11501.1	
N2.HOG0000011	OG0000000	n53		CCC26535.1		ALV10596.1	AMC59037.1
N2.HOG0000012	OG0000000	n64		CCC27928.1		ALV11823.1	AMC60572.1
N2.HOG0000013	OG0000000	n66		CCC28677.1		ALV12498.1	AMC61402.1
N2.HOG0000014	OG0000000	n84		CCC28589.1		ALV12419.1	AMC61292.1
N2.HOG0000015	OG0000000	n16		CCC26490.1		ALV10556.1	AMC58989.1
N2.HOG0000016	OG0000000	n35		CCC27245.1		ALV11158.1	AMC59828.1, AMC59754.1
N2.HOG0000017	OG0000000	n40		CCC27723.1		ALV11641.1	AMC60347.1
N2.HOG0000018	OG0000000	n49		CCC26544.1		ALV10609.1	
N2.HOG0000019	OG0000000	n50		CCC26546.1		ALV10607.1	AMC59051.1, AMC59054.1
N2.HOG0000020	OG0000000	n31		CCC28593.1		ALV12422.1	AMC61301.1
N2.HOG0000021	OG0000000	n33				ALV12424.1	AMC61295.1, AMC61310.1
N2.HOG0000022	OG0000000	n44		CCC27572.1			AMC60180.1
N2.HOG0000023	OG0000000	n45		CCC27575.1			AMC60188.1
N2.HOG0000024	OG0000000	n111		CCC25829.1			AMC58259.1, AMC57747.1, AMC57601.1, AMC57745.1, AMC57743.1, AMC58258.1
N2.HOG0000025	OG0000000	n120		CCC26062.1		ALV10177.1	AMC58520.1
N2.HOG0000026	OG0000000	n122		CCC26059.1		ALV10174.1	AMC60324.1, AMC58517.1
N2.HOG0000027	OG0000000	n20		CCC28451.1		ALV13179.1	AMC61141.1
N2.HOG0000028	OG0000000	n22		CCC28470.1		ALV12324.1	AMC61163.1
N2.HOG0000029	OG0000000	n25		CCC26152.1		ALV10259.1	AMC58625.1
N2.HOG0000030	OG0000000	n27		CCC26153.1		ALV12895.1	AMC58626.1
N2.HOG0000031	OG0000000	n91		CCC25915.1		ALV10049.1	AMC58357.1
N2.HOG0000032	OG0000000	n93		CCC26421.1		ALV10490.1	AMC58911.1
N2.HOG0000033	OG0000000	n97				ALV09765.1	AMC58021.1
N2.HOG0000034	OG0000000	n99		CCC25371.1		ALV09554.1	AMC57766.1
N2.HOG0000035	OG0000000	n103		CCC25657.1		ALV09807.1	AMC58077.1
N2.HOG0000036	OG0000000	n105				ALV09393.1	AMC57570.1
N2.HOG0000037	OG0000000	n107		CCC28672.1		ALV12493.1	AMC61397.1
N2.HOG0000038	OG0000000	n109		CCC26172.1		ALV10274.1	AMC58646.1
N2.HOG0000039	OG0000001	n3		CCC28213.1		ALV12068.1	AMC60882.1
N2.HOG0000040	OG0000001	n5		CCC28214.1		ALV12069.1	AMC60883.1
N2.HOG0000041	OG0000001	n12		CCC26900.1		ALV10901.1	AMC59438.1
N2.HOG0000042	OG0000001	n25		CCC27843.1		ALV11742.1	AMC60480.1
N2.HOG0000043	OG0000001	n27		CCC26122.1		ALV10232.1	AMC58595.1
N2.HOG0000044	OG0000001	n90					AMC59436.1
N2.HOG0000045	OG0000001	n18		CCC25996.1		ALV10119.1	AMC58447.1
N2.HOG0000046	OG0000001	n20		CCC25462.1		ALV09634.1	AMC57862.1
N2.HOG0000047	OG0000001	n88					AMC59435.1
N2.HOG0000048	OG0000001	n82		CCC25428.1		ALV12292.1	AMC61123.1
N2.HOG0000049	OG0000001	n38		CCC28202.1			AMC60869.1
N2.HOG0000050	OG0000001	n39		CCC27438.1, CCC27435.1			AMC60037.1
N2.HOG0000051	OG0000001	n44		CCC26647.1		ALV12953.1	AMC59163.1
N2.HOG0000052	OG0000001	n79		CCC25838.1		ALV09977.1	AMC58269.1
N2.HOG0000053	OG0000001	n81				ALV12810.1	AMC57921.1
N2.HOG0000054	OG0000001	n48		CCC27011.1			AMC59558.1
